artist,title,year,category,bpm,bar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
James Brown,Soul Pride,1969,break,132,11,h,sg,"k,h",sg,"sa,h",sg,"k,h",,"k,h",s,sa,s,"k,h",sg,"k,sb",sb
James Brown,Soul Pride,1969,break,132,12,"k,h",sg,"k,h",,"sa,h",,"sa,h",,h,sa,"ka,s,h",,h,,"sa,h",
James Brown,Soul Pride,1969,break,132,13,h,s,"ka,h",,h,,"sa,h",,h,s,"ka,h",s,sa,s,"k,sa",s
James Brown,Soul Pride,1969,break,132,14,"ka,h",s,"ka,h",s,"sa,h",,"sa,h",,h,s,ka,,h,,"ka,h",
James Brown,Soul Pride,1969,break,132,15,h,sg,"k,h",,"sab,h",,"k,h",,"ka,sg,h",,"sa,h",,"k,h",s,k,s
James Brown,Soul Pride,1969,break,132,16,"ka,c",,"k,c",,"sa,h",,h,s,h,sb,"ka,h",,h,,"sa,h",
James Brown,Soul Pride,1969,break,132,17,h,s,"k,h",s,sa,s,"k,h",s,"k,h",s,sa,s,"k,h",sg,"k,sb",sb
James Brown,Soul Pride,1969,break,132,18,"k,ttt",,"k,c",,"sa,h",,h,s,h,sb,"ka,h",,h,,"sa,h",
James Brown,Soul Pride,1969,break,132,19,h,sg,"k,h",,"sa,h",sg,"k,h",s,"k,h",s,sa,s,"k,h",s,"k,sa",s
Michael Viner's Incredible Bongo Band,Apache,1973,break,116,1,"k,h",,h,,"sa,h",,h,,h,s,"k,h",,"sa,h",,h,s
Michael Viner's Incredible Bongo Band,Apache,1973,break,116,2,"k,h",,"k,h",,"sa,h",,h,,h,s,"k,h",,"sa,h",,h,s
Archie Bell and the Drells,Tighten Up,1968,groove,127,1,"k,h",s,"k,ho",,"sa,hc",,"k,h",s,h,s,"k,ho",,"sa,hc",,h,s
Archie Bell and the Drells,Tighten Up,1968,break,133,2,"k,y",s,"k,y",,"sa,yg",s,"k,y",t,"k,y",s,"k,y",,"sa,yg",s,"k,y",ta
Archie Bell and the Drells,Tighten Up,1968,break,133,3,"k,y",s,"k,y",,"sa,yg",s,"k,y",ta,"k,s",s,t,t,s,s,t,s
Charles Wright and The Watts 103rd Street Rhythm Band,Express Yourself,1970,groove,92,1,"k,hc",h,h,"k,h","sa,h",h,h,"sg,h","k,h","sa,h",h,"k,h","sa,h",h,ho,
Charles Wright and The Watts 103rd Street Rhythm Band,Express Yourself,1970,break,94,2,"k,h",hc,h,"k,h","sa,h",h,ha,"sg,h","k,h","sa,h",ha,"k,s,h","sa,h",h,"k,ha","sg,h"
Charles Wright and The Watts 103rd Street Rhythm Band,Express Yourself,1970,break,94,3,"k,h","sa,h",ha,"k,h","sa,h",h,ha,"k,h","sa,h","k,h",ha,"s,h","k,h",h,"sa,h",h
Charles Wright and The Watts 103rd Street Rhythm Band,Express Yourself,1970,break,94,4,"k,h",hc,h,"k,h","sa,h",h,ha,"s,h","k,h","sa,h",h,"k,h","sa,h","k,h",ha,"sa,h"
Charles Wright and The Watts 103rd Street Rhythm Band,Express Yourself,1970,break,94,5,h,"k,h",h,"sa,h","k,h","s,h","s,h","k,h",ha,"sa,h","k,h","s,h","sa,h","k,h",h,"sb,h"
Charles Wright and The Watts 103rd Street Rhythm Band,Express Yourself,1970,break,94,6,"k,h",hc,h,"k,h","sa,h",h,"sa,h",h,ha,"k,h",h,"sa,h",h,"k,h",ha,"sa,h"
Charles Wright and The Watts 103rd Street Rhythm Band,Express Yourself,1970,break,94,7,h,"k,h",ha,"sa,h","k,h",h,"sa,h","k,h",ha,"sa,h","k,h","k,h","sa,h","k,h",ha,sb
Charles Wright and The Watts 103rd Street Rhythm Band,Express Yourself,1970,break,94,8,"k,ha",h,h,"k,h","sa,h",h,ha,"sb,h","k,h",k,,k,"sa,h",h,ha,sb
Charles Wright and The Watts 103rd Street Rhythm Band,Express Yourself,1970,break,94,9,"k,h",h,"k,h",h,"k,h",h,"k,h",h,"k,s,t","s,t","k,s,t","s,t","k,s,t","s,t","k,s,t","s,t"
Bill Withers,Use Me,1972,groove,78,1,"k,h",h,"k,h",h,"r,h","k,h",h,"k,r,h","k,h","r,h","k,h","k,h","r,h","k,h",h,"k,r,h"
Bill Withers,Use Me,1972,groove,78,2,"k,h",h,"k,h",h,"r,h","k,h",h,"r,h","k,h","k,ho",hc,"k,ho",hc,"k,ho",hc,"k,r,h"
Bill Withers,Use Me,1972,break,77,3,"k,h",h,"k,h",h,"r,h","k,h",h,"k,r,h","k,h","r,h","k,h","k,h","r,h","k,h",h,"k,r,h"
Bill Withers,Use Me,1972,break,77,4,"k,h",h,"k,h",h,"r,h","k,h",h,"r,h","k,h","k,h",h,"k,h","r,h",h,"k,ho",hc
Bill Withers,Use Me,1972,break,77,5,"k,h",h,"k,h",h,"r,h","k,h",h,"k,r,h","k,h","r,h","k,h","k,h","r,h",h,"k,h","r,hc"
Bill Withers,Use Me,1972,break,77,6,"k,h",h,"k,h",h,"r,h","k,h",h,"r,h","k,h","k,ho",hc,"k,ho",hc,"k,ho",hc,"r,h"
Parliament,Come in Out of the Rain,1990,break,84,1,k,,ho,,,k,"k,ho",,,,"k,h",,"sa,h",,h,k
Parliament,Come in Out of the Rain,1990,break,84,2,"k,h",,ho,,sa,hg,ho,,hc,k,"k,h",,"sa,ha",hg,ha,"k,hg"
Parliament,Come in Out of the Rain,1990,break,84,3,"k,ha",hg,ho,,sa,hg,ho,,,k,"k,h",,"sa,ha",hg,ha,"k,hg"
Parliament,Come in Out of the Rain,1990,break,84,4,"k,ha",hg,ho,,sa,hg,ho,,,k,"k,h",,"sa,ha",hg,ha,"k,hg"
Eumir Deodato,September 13th,1972,break,97,1,"k,h",,ha,k,"sa,h",k,ha,,"k,h",,ho,,"sa,hc",,ha,s
Eumir Deodato,September 13th,1972,break,97,2,"k,h",sg,ha,k,"sa,h",k,ha,,"k,h",,ho,,"sa,hc",,ha,
The Meters,Here Comes the Meterman,1969,groove,89,1,"k,ya",,yl,k,"sa,yl",k,yl,sa,"k,y",k,yl,k,"sa,yl",k,"sa,yl",
The Meters,Here Comes the Meterman,1969,groove,89,2,"k,y",sa,yl,k,"sa,yl",k,yl,sa,"k,y",k,yl,k,"k,sa,yl",,"k,sa,yl",
The Meters,Here Comes the Meterman,1969,break,91,3,"k,c",,,,"sa,yl",,,sa,yl,k,y,k,"sa,yl",,sa,
The Meters,Here Comes the Meterman,1969,break,91,4,"k,yl",sa,,k,"sa,yl","k,sa,yl",,k,"sa,yl",k,"k,yl",sa,k,k,"sa,yl",
The Meters,Here Comes the Meterman,1969,break,91,5,"k,yl",,,k,"sa,yl",k,,"sa,yl",,k,"sa,yl",k,k,"sa,yl",k,k
The Meters,Here Comes the Meterman,1969,break,91,6,"sa,yl","k,sa,yl",,k,"k,yl",sa,"k,y","k,y","sa,yl",k,"k,s,yl",s,"k,sa,y",,"k,sa,ho",
The Meters,Here Comes the Meterman,1969,break,91,7,"k,y",,,k,"sa,ya","k,sa,h",,k,"k,sa,yl",,y,k,"sa,yl",k,"k,sa,yl",
The Meters,Here Comes the Meterman,1969,break,91,8,"k,yl",sa,y,k,"sa,yl","k,y",,k,"sb,yl",k,"k,ya",sa,ya,k,"sa,ya",
The Meters,Here Comes the Meterman,1969,break,91,9,"k,y",sa,y,k,"sa,yl","k,sa,yl",,k,"k,sa,yl",,yl,k,"sa,yl",k,"sa,yl",
