artist,title,year,category,bpm,bar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
The Honeydrippers,Impeach the President,1973,5,97,1,"k,h",,h,,"sa,h",,h,"k,h","k,h",,"k,ho",,"sa,hc",,"k,h",
Aretha Franklin,Rocksteady,1972,5,105,1,"k,h",sg,"k,h",k,"sa,h",,"sa,h",sg,h,s,"k,h",k,"sa,h",,"sa,h",sg
Aretha Franklin,Rocksteady,1972,5,105,2,"k,h",sg,"k,h","k,h","sa,h",,"sa,h",sg,"k,h",s,"k,h",k,"sa,h",,"sa,h",sg
Aretha Franklin,Rocksteady,1972,5,105,3,"k,h",sg,"k,h",k,"sa,h",,"sa,h",sg,"k,h",s,"k,h",k,"sa,h",s,"k,h",s
Aretha Franklin,Rocksteady,1972,5,105,4,"sa,h",k,h,s,"k,h","k,h","sa,h",,sa,"k,ho",,"k,ho",,"k,ho",,s
Lauryn Hill,Lost Ones,1998,6,95,1,k,,h,,"sa,h",,h,,k,,"sa,h",,,,h,
Lauryn Hill,Lost Ones,1998,6,95,2,k,,h,,"sa,h",,h,,k,,"sa,h",,,,k,
James Brown,Cold Sweat (Pt. 1),1967,6,111,1,"k,ha",,h,,"sa,ha",,h,sg,"k,ha",,"k,ho",,h,,"sa,h",
James Brown,Cold Sweat (Pt. 1),1967,6,111,2,h,sg,"k,ho",,"sa,hc",,h,sg,"k,h",sg,"k,ho",,"sa,hc",,"k,h",
James Brown,Cold Sweat (Pt. 2),1967,6,114,1,"k,c",,h,,"sa,h",,h,s,"k,h",,"k,h",,h,,"sa,h",
James Brown,Cold Sweat (Pt. 2),1967,6,114,2,h,s,"k,h",,"sa,h",,"k,h",ta,h,ta,"k,h",,"ta,h",,"k,h",
James Brown,Cold Sweat (Pt. 2),1967,6,114,3,"k,c",,h,,"sa,h",,h,s,"k,h",sg,"k,h",,"sg,h",,"sb,h",
James Brown,Cold Sweat (Pt. 2),1967,6,114,4,h,s,"k,h",,"sa,h",,"k,h",sg,h,sa,"k,h",,"ta,h",,"k,h",
The Roots,75 Bars,2008,6,108,1,"k,hc",,"k,h",,"sa,ho",,,s,"k,hc",,"k,h",,"sa,ho",,,s
The Roots,75 Bars,2008,6,108,2,"k,h",,"k,h",,"s,h",,"sa,h",,"k,hc",s,k,,"sa,h",,hc,s
Mos Def,UMI Says,1999,6,121,1,"k,h",,h,,"sa,h",,h,,"sa,h",,"k,h",,h,,"sa,h",
Mos Def,UMI Says,1999,6,121,2,h,sg,"k,h",,"sa,h",,h,sg,"k,h",sg,"k,h",,"sa,h",,h,
Mos Def,UMI Says,1999,6,121,3,"k,h",,h,,"sa,h",,h,,"sa,h",,"k,h",,h,,"sa,h",
Mos Def,UMI Says,1999,6,121,4,h,sg,"k,h",,"sa,h",,h,sg,"k,h",sg,"k,h",,"sa,h",sg,h,sg
Kool and the Gang,Chocolate Buttermilk,1969,7,113,1,"k,h",s,"k,h",k,"sa,h",sb,k,s,"k,h",sa,k,k,"sa,h","k,sb",h,sb
Kool and the Gang,Chocolate Buttermilk,1969,7,113,2,"k,h",s,"k,h",k,"sa,h",sb,k,sa,"k,h",sa,"k,h",k,"sa,h",sb,"k,h",tb
Paul Simon,50 Ways to Leave Your Lover,1975,7,102,1,k,h,sa,,h,sa,h,k,"k,ttt",,,,sb,s,s,s
Paul Simon,50 Ways to Leave Your Lover,1975,7,102,2,k,h,sa,,h,sa,h,k,k,,,,ttt,,sb,sb
Isaac Hayes,Breakthrough,1974,8,84,1,"k,ha",h,ha,h,"s,h",h,ha,"k,h",ha,"k,h","k,ha",h,"s,h",h,ha,h
Isaac Hayes,Breakthrough,1974,8,84,2,"k,ha",h,ha,h,"s,h",h,ha,"k,h",ha,"k,h","k,ha",h,"s,h",h,ha,h
Isaac Hayes,Breakthrough,1974,8,84,3,"k,ha",h,ha,h,"s,h",h,ha,"k,h",ha,"k,h","k,ha",h,"s,h",h,ha,h
Isaac Hayes,Breakthrough,1974,8,84,4,"k,ha",h,ha,h,"s,h",h,ha,"k,h",ha,"k,h","k,ha",h,"s,h",h,ho,
Outkast,SpottieOttieDopaliscious,1998,8,63,1,"k,h",h,"k,h",h,"r,h",h,h,"k,h","k,h",h,"k,h",h,"r,h",h,h,ho
Outkast,SpottieOttieDopaliscious,1998,8,63,2,"k,hc",h,"k,h",h,"r,h",h,h,"k,h","k,h",h,"k,h",h,"r,h","r,h3",h,r
A Tribe Called Quest,Footprints,1990,9,100,1,"k,h",,h,,sa,,h,h,h,h,"k,ho",,sa,,h,h
A Tribe Called Quest,Footprints,1990,9,100,2,"k,h",,h,,sa,,h,h,h,h,"k,ho",,sa,k,h,h
The Isley Brothers,Footsteps in the Dark,1977,9,81,1,"k,h",,h,,"s,h",,h,h,k,h,h,,"s,h",,h,h
The Isley Brothers,Footsteps in the Dark,1977,9,81,2,"k,ha",,h,,"kg,s,h",,h,h,k,h,h,,"s,h",,ho,
Tower of Power,Ebony Jam,1975,9,113,1,"k,c",,h,,sa,,h,,"k,ha",,h,,sa,ha,sg,"k,h"
Tower of Power,Ebony Jam,1975,9,113,2,ha,sg,"sg,ha",k,sa,,h,,"k,ha",,h,,sa,ha,sg,"k,h"
The Meters,Cissy Strut,1969,9,88,1,k,h,ha,k,sa,k,,ha,k,"k,h",ha,k,sa,,"sa,h",
The Meters,Cissy Strut,1969,9,88,2,k,h,ha,k,sa,k,,ha,k,"k,h",ha,k,sa,k,"sa,h",
Melvin Bliss,Synthetic Substitution,1973,10,93,1,"k,h",,"k,h",,"sa,h",,h,k,h,k,"k,h",k,"sa,h",,h,k
Melvin Bliss,Synthetic Substitution,1973,10,93,2,"k,h",,"k,ho",,"sa,hc",,h,k,h,k,"k,h",k,"sa,h",,h,k
Public Enemy,Night of the Living Baseheads,1988,10,106,1,"k,h",,h,,"sa,h",,"kg,h",k,h,k,"k,h",,"sa,h",,"kg,h",kg
Public Enemy,Night of the Living Baseheads,1988,10,106,2,h,,"k,h",,"sa,h",,h,k,"k,h",k,"k,h",k,"sa,h",k,"k,h",
The Roots,Ain't Sayin Nothin New,1999,10,93,1,"k,h",k,"k,h",k,"sa,h",,h,,"k,h",,"k,h",,"sa,h",,h,
Carleen and the Groovers,Can We Rap,2004,11,117,1,"k,y",,k3,k,sa,,y,sb,"k,y",,k3,k,sa,,y,s
Carleen and the Groovers,Can We Rap,2004,11,117,2,"k,y",,y,,"sa,h",,y,s,"k,y",s,"k,y",k,"sa,y",,y,sb
Carleen and the Groovers,Can We Rap,2004,11,117,3,"k,y",,k3,k,sa,,y,sb,"k,y",,"k,y",,"sa,y",,y,sb
Carleen and the Groovers,Can We Rap,2004,11,117,4,"k,y",s,,y,sa,"k,y",s,s,"k,y",s,"k,yl","k,yl",sa,"k,yl",s,s
